application_id,applicant_name,household_income,employment_status,num_children,child_ages,childcare_hours_requested,housing_situation,partner_employed,recent_municipal_support,flags,incomplete_docs,high_hours_request,income_mismatch
A018,Jeroen Bakker,59549,self-employed,1,1,99,temporary shelter,TRUE,food aid,"{'incomplete_docs': True, 'high_hours_request': False, 'income_mismatch': False}",TRUE,FALSE,FALSE
A021,Carlos Hoefdraad,60285,unemployed,1,0,98,rented,TRUE,food aid,"{'incomplete_docs': False, 'high_hours_request': True, 'income_mismatch': False}",FALSE,TRUE,FALSE
A022,Renée Rambaran,57344,employed,2,"8,11",40,temporary shelter,FALSE,food aid,"{'incomplete_docs': False, 'high_hours_request': True, 'income_mismatch': False}",FALSE,TRUE,FALSE
A023,Ahmed El Idrissi,23132,part-time,1,14,129,with relatives,FALSE,food aid,"{'incomplete_docs': False, 'high_hours_request': True, 'income_mismatch': False}",FALSE,TRUE,FALSE
A024,Fatima Benali,16897,part-time,4,"2,6,12,13",125,with relatives,TRUE,food aid,"{'incomplete_docs': False, 'high_hours_request': True, 'income_mismatch': False}",FALSE,TRUE,FALSE
A025,Emine Kaya,49065,freelancer,3,"3,10,14",108,with relatives,FALSE,food aid,"{'incomplete_docs': False, 'high_hours_request': True, 'income_mismatch': False}",FALSE,TRUE,FALSE
A026,Mustafa Yilmaz,20507,employed,4,"5,9,9,14",109,owned,FALSE,housing benefit,"{'incomplete_docs': False, 'high_hours_request': True, 'income_mismatch': False}",FALSE,TRUE,FALSE
A027,Dewi Handoko,47560,unemployed,4,"0,4,8,12",55,owned,TRUE,housing benefit,"{'incomplete_docs': True, 'high_hours_request': False, 'income_mismatch': False}",TRUE,FALSE,FALSE
A028,Sinta Wijaya,38579,student,4,"8,9,13,15",22,owned,FALSE,housing benefit,"{'incomplete_docs': True, 'high_hours_request': False, 'income_mismatch': False}",TRUE,FALSE,FALSE
A029,Jakub Nowak,58275,student,1,3,24,with relatives,FALSE,housing benefit,"{'incomplete_docs': True, 'high_hours_request': False, 'income_mismatch': False}",TRUE,FALSE,FALSE
A030,Anna Kowalska,20971,unemployed,3,"3,4,12",131,owned,TRUE,housing benefit,"{'incomplete_docs': True, 'high_hours_request': False, 'income_mismatch': False}",TRUE,FALSE,FALSE
A031,Ahmad Rahimi,20764,student,1,2,121,rented,TRUE,housing benefit,"{'incomplete_docs': True, 'high_hours_request': False, 'income_mismatch': False}",TRUE,FALSE,FALSE
A032,Leila Hassan,15427,freelancer,3,"3,4,12",104,rented,TRUE,food aid,"{'incomplete_docs': True, 'high_hours_request': False, 'income_mismatch': False}",TRUE,FALSE,FALSE
A033,Maaike de Jong,68971,employed,1,12,37,owned,FALSE,food aid,"{'incomplete_docs': True, 'high_hours_request': False, 'income_mismatch': False}",TRUE,FALSE,FALSE
A034,Bram van Dijk,62035,part-time,3,"1,2,10",149,temporary shelter,FALSE,food aid,"{'incomplete_docs': False, 'high_hours_request': False, 'income_mismatch': False}",FALSE,FALSE,FALSE
A035,Priya Sharma,46942,freelancer,2,"5,10",94,rented,TRUE,food aid,"{'incomplete_docs': False, 'high_hours_request': True, 'income_mismatch': False}",FALSE,TRUE,FALSE
A036,Kwame Mensah,38757,part-time,4,"4,4,12,13",78,rented,FALSE,food aid,"{'incomplete_docs': False, 'high_hours_request': True, 'income_mismatch': False}",FALSE,TRUE,FALSE
A037,Aisha Mohammed,72552,employed,1,14,88,with relatives,TRUE,food aid,"{'incomplete_docs': False, 'high_hours_request': True, 'income_mismatch': False}",FALSE,TRUE,FALSE
A038,Igor Petrov,39017,employed,4,"11,13,15,15",102,temporary shelter,FALSE,food aid,"{'incomplete_docs': False, 'high_hours_request': True, 'income_mismatch': False}",FALSE,TRUE,FALSE
A039,Lucia Fernández,61580,unemployed,1,13,121,rented,FALSE,food aid,"{'incomplete_docs': False, 'high_hours_request': True, 'income_mismatch': False}",FALSE,TRUE,FALSE
A040,Sophie Dubois,36271,unemployed,2,"0,15",122,temporary shelter,TRUE,food aid,"{'incomplete_docs': False, 'high_hours_request': True, 'income_mismatch': False}",FALSE,TRUE,FALSE
A041,Sophie Dubois,36271,unemployed,2,"0,15",122,temporary shelter,TRUE,food aid,"{'incomplete_docs': False, 'high_hours_request': True, 'income_mismatch': False}",FALSE,TRUE,FALSE
A042,Sophie Dubois,36271,unemployed,2,"0,15",122,temporary shelter,TRUE,food aid,"{'incomplete_docs': False, 'high_hours_request': True, 'income_mismatch': False}",FALSE,TRUE,FALSE
